URI,http://apps.ideaconsult.net:8080/enanomapper/property/0742483C22DF4FD0124E85A850ED22F605CB2442,http://apps.ideaconsult.net:8080/enanomapper/property/476FE8F5AB551BF765AEA233F1FBF8166ECAC4B0,http://apps.ideaconsult.net:8080/enanomapper/property/4251062C842998FA466DE8D32D40AFFB86F945D0,http://apps.ideaconsult.net:8080/enanomapper/property/CFE2E9C6D9FC63ED953CBBD083C05BF52793044E,http://apps.ideaconsult.net:8080/enanomapper/property/E1300FD8CA77C148D323E2BADFACC1AB1DC5B60D,http://apps.ideaconsult.net:8080/enanomapper/property/6706E7059C5CD3A8C4C7B502E8B72F14841AAE2C,http://apps.ideaconsult.net:8080/enanomapper/property/7DF9E2F991E6BA189A656D08855D79E462260D6D,http://apps.ideaconsult.net:8080/enanomapper/property/6FB266F7D4AECEC6F82E0752E6345BE187740A20,http://apps.ideaconsult.net:8080/enanomapper/property/A7AE715964325AECE9B4FA958860B93CBC5CEAEC,http://apps.ideaconsult.net:8080/enanomapper/property/6D9370D3D616D6B62174E3E7B2967C2D21982369,http://apps.ideaconsult.net:8080/enanomapper/property/5CB0C22819D8C461DFC2B13A7BE800F74967DAB9,http://apps.ideaconsult.net:8080/enanomapper/property/75F199D57123D0A42487D6C6E303CB47D0271C50,http://apps.ideaconsult.net:8080/enanomapper/property/234F2902BEE181D7C01C36E4647297BA1CF01166,http://apps.ideaconsult.net:8080/enanomapper/property/9D84BF9556FB98F0B037D88B57839180B5A21DF4,http://apps.ideaconsult.net:8080/enanomapper/property/CDCC53CE7A02DE84F5D4594695D4497F3B3F01D0,http://apps.ideaconsult.net:8080/enanomapper/property/D40DD4651571AD0422DEB2232CE902DBD50BDFCA,http://apps.ideaconsult.net:8080/enanomapper/property/7EBD52A7BB62961F5935D97023D923DC0C7EF4E2,http://apps.ideaconsult.net:8080/enanomapper/property/F551100E185F583AD3295FC4D7E51BC087412278,http://apps.ideaconsult.net:8080/enanomapper/property/891BC7EB2EBF6604836E731786F64C844E057AFB,http://apps.ideaconsult.net:8080/enanomapper/property/D70B21712517AC925CF75AB390E79DDC0C317BEB,http://apps.ideaconsult.net:8080/enanomapper/property/1BEFE07ED89FFD85D5394B7C0E550ACA6FEF5C83,http://apps.ideaconsult.net:8080/enanomapper/property/CDDE741EE745B280A4714B3036E1D815B727EDC4,http://apps.ideaconsult.net:8080/enanomapper/property/1F5FE8730629B5B795DBF3E8BA2DA800B079C7B9,http://apps.ideaconsult.net:8080/enanomapper/property/80CFF3D48ABF41A2504EA2DF7E5FEBCF66A6D40B,http://apps.ideaconsult.net:8080/enanomapper/property/95BD675EF56406C1D4B062003D92FD296B13B5CA,DoAhttp://apps.ideaconsult.net:8080/enanomapper/substanceowner/FCSV-40474F13-236E-3B60-9339-2786525212F3/dataset
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-bc77c03d-4e75-3fab-bb3d-17b983663819,0.008109,0.005258,0.004562,0.004996,0.018817,0.002534,0.011721,0.0321,0.001521,0.037844,0.011319,0.00341,0.005903,0,0.013178,0.010897,0,0.00601,0,0.002027,0,0,0,0,-5.17622,0.881043
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-8f5cd32a-3350-300b-91d0-87000ee5d7ee,0.002964,0.009261,0.004331,0.003908,0.034479,0.005547,0.003372,0.008865,0.001567,0.018364,0.015324,0.000725,0.000916,0.00228,0.034195,0.00057,0,0.004071,0.082447,0,0.050912,0.011778,0,0.00076,-1.296059,0.870798
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-2bd3347a-7760-33c4-b689-62ecf6121552,0.00947,0.004213,0.004494,0.002637,0.029494,0.002247,0.014848,0.006688,0.001505,0.104334,0.004637,0.000219,0.002927,0,0.004414,0,0,0.002408,0,0,0,0,0,0,-5.518123,0.949431
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-8b836141-df79-3763-8f76-4e15b30ff76f,0.009897,0.004256,0.006176,0.002262,0.026623,0.002692,0.01158,0.008709,0.00188,0.096068,0.005542,0.000144,0.005589,0,0.004355,0.003563,0,0.001357,0,0,0,0,0,0,-5.672968,0.915144
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-f3d54c07-7dd4-3124-b5bf-341eb9eb4e82,0.004482,0.009144,0.00482,0.002235,0.033087,0.005074,0.013214,0.011557,0.001057,0.01635,0.014846,0.000615,0.00092,0.001057,0.025581,0.002748,0,0.005557,0.046512,0.000085,0.026638,0.013531,0,0,-1.324318,0.841362
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-0fe5f223-9c02-363c-a23c-70f1f36ffbec,0.005489,0.006696,0.002646,0.00359,0.019593,0.007143,0.013476,0.001764,0.003307,0.061949,0.010068,0.002646,0.010543,0.000661,0.015542,0.001984,0,0,0,0,0,0,0,0,-7.127578,0.926534
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-ae94c9b5-ffeb-3b3b-8464-1dfe3dbde073,0.014606,0.014428,0.004376,0.008049,0.005607,0.017396,0.009505,0.004376,0.000752,0.028629,0.005106,0.003034,0.009525,0.015864,0.006291,0.024617,0.008206,0.000391,0,0.000109,0,0,0.000547,0,-5.432402,0.867143
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-6d5b38c4-f57f-31de-b8b4-2719792f82f2,0.014165,0.017356,0.003506,0.007213,0.008853,0.015568,0.007451,0.02057,0.00149,0.02244,0.005454,0.002231,0.00627,0.008065,0.013324,0.022791,0.017532,0.001603,0.000701,0.000561,0,0,0.000701,0,-5.87807,0.866279
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-3868634d-1b21-3a0b-ab5a-96938d4e2f04,0.01572,0.013376,0.00625,0.010146,0.005919,0.013636,0.005445,0.104482,0.004261,0.006629,0.001052,0.001636,0.002172,0.011364,0,0.008049,0,0,0,0,0,0,0,0.001894,-7.286439,0.850011
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-d77c0e54-669f-3d6f-b635-2b6271b705ba,0.015665,0.012071,0.004578,0.00889,0.007779,0.01588,0.010104,0.062947,0.001609,0.017883,0.004053,0.00065,0.00446,0.006795,0.002504,0.010014,0.017883,0.001124,0,0,0,0,0,0,-7.578649,0.81891
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-fea121f3-e68f-3ea7-a3f7-bbe160499068,0.006266,0.009286,0.008269,0.00526,0.006783,0.012274,0.021479,0.052756,0.002342,0.000431,0.018949,0.001292,0.002166,0.004845,0.000969,0.000323,0,0.010244,0.003876,0.001938,0,0,0,0,-1.138062,0.815642
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-026077fa-7d93-37ce-8a73-c770532b7b35,0.014097,0.01707,0.002643,0.011957,0.002203,0.006167,0.011013,0.088106,0.007159,0.038179,0.000489,0,0.001037,0,0,0.015419,0,0,0,0,0,0,0,0,-6.106524,0.737441
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-a77cddca-8f6c-3568-a6f2-12d589bb810f,0.019681,0.01219,0.005201,0.011229,0.008126,0.006265,0.016548,0.080969,0.002733,0.008471,0.000657,0.000322,0.002677,0.004728,0,0.005319,0.00591,0,0,0,0,0,0,0.000591,-6.811054,0.840898
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-e7ba8de0-357b-38b8-9411-a606d671bc99,0.015758,0.013163,0.003137,0.008749,0.005695,0.015833,0.008122,0.055016,0.002614,0.014688,0.00473,0.001494,0.005535,0.016804,0.002987,0.014937,0.009709,0.00096,0,0,0,0,0,0.000747,-7.670968,0.897958
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-1a71d2b3-8121-3790-a66b-774b12829bb3,0.004997,0.002677,0.003093,0.002719,0.014203,0.007258,0.015988,0.001785,0.000669,0.053738,0.01864,0.004705,0.012458,0.000297,0.005354,0.000297,0,0.00017,0,0,0,0,0,0,-6.080552,0.860339
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-b38f2b71-aa2d-3d72-af88-166a60bedee2,0.01193,0.012902,0.004736,0.006192,0.007261,0.027167,0.010221,0.002532,0.002346,0.022788,0.006653,0.003331,0.008332,0.003798,0.012511,0.02882,0.003575,0.000255,0,0.000357,0,0,0.002234,0,-5.363254,0.852405
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-32f7d17b-8467-3a59-b00d-5e5529831787,0.007416,0.006212,0.002752,0.002621,0.029625,0.001988,0.010034,0.009684,0.001338,0.093017,0.005352,0.00007,0.003238,0,0.010703,0,0,0.002184,0.045872,0,0.005352,0.003058,0,0,-4.963914,0.898242
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-c4fe20ba-de05-36c2-9842-5433ce33bd72,0.010746,0.009769,0.005347,0.007051,0.010668,0.021902,0.019602,0.055527,0.008933,0.00994,0.001657,0.001122,0.002057,0.004113,0,0.013111,0,0.00022,0,0.000103,0.000514,0,0.005913,0.003856,-0.276294,0.691786
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-a153cba3-a82d-3e3c-bcbd-335cc5155f44,0.008061,0.002852,0.002433,0.001738,0.028612,0.003194,0.018346,0.001267,0.000285,0.102155,0.010562,0,0.00331,0.005323,0.002281,0,0,0,0,0.000304,0,0,0,0,-5.959568,0.935984
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-7c56798c-f7cd-37d3-8a67-ead57f36db31,0.008744,0.005118,0.002359,0.002776,0.017349,0.006801,0.020298,0.001157,0.00026,0.048115,0.007711,0.00183,0.009144,0,0.010409,0,0,0.002776,0.039556,0,0.020125,0.005205,0,0,-6.134868,0.908946
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-4026a85b-f254-3d35-bd77-c634d38e4a22,0.003285,0.006502,0.003149,0.002249,0.029175,0.003559,0.008214,0.004563,0.000684,0.042437,0.012016,0.00056,0.00455,0,0.030116,0,0,0.003911,0.090349,0,0.03217,0.00924,0,0,-5.393756,0.923757
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-93c29ebf-e80e-354c-893f-923385c72858,0.006058,0.006569,0.003358,0.002815,0.011679,0.011387,0.014872,0.008273,0.001004,0.056691,0.002109,0.007167,0.011378,0,0.010219,0,0,0.001773,0.032847,0,0.019708,0.00073,0,0,-3.209627,0.787574
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-578afc49-fd11-3352-80a5-9e16df40f8ba,0.008197,0.00361,0.004215,0.001784,0.029274,0.002654,0.014832,0.005725,0.001464,0.111632,0.006072,0.000142,0.003168,0.00039,0.004684,0.001171,0,0.000335,0,0.000156,0,0,0,0,-5.911982,0.953692
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-edc7f198-f391-328e-aa68-7d3f00b62af5,0.003611,0.006994,0.004781,0.002471,0.024987,0.003967,0.004069,0.001526,0.000381,0.022889,0.021024,0.000185,0.005236,0,0.041963,0,0,0.002398,0.0941,0,0.038149,0.012462,0,0,-5.747079,0.90707
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-7087aac7-6f1d-320f-bfde-5897fe91af64,0.003371,0.008989,0.005693,0.002889,0.019382,0.002097,0.006742,0.000749,0.002528,0.043446,0.020891,0.00034,0.002952,0.002622,0.04794,0,0,0.00107,0.08015,0.0003,0.029213,0.005993,0,0,-5.771813,0.85941
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-0588dd9b-6227-307f-9e6a-6b07d4717e8c,0.003784,0.007056,0.004218,0.004342,0.033344,0.005955,0.004498,0.003309,0.000388,0.02378,0.013648,0.000169,0.004634,0,0.033189,0,0,0.003811,0.075062,0,0.039082,0.013337,0,0,-5.39087,0.891677
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-47e98c51-7508-362f-84d3-494bb124b849,0.004197,0.007055,0.003039,0.003204,0.03021,0.00521,0.006784,0.006995,0.000814,0.030873,0.012944,0.000789,0.002554,0,0.036179,0,0,0.003928,0.093343,0,0.035456,0.012301,0,0,-5.807374,0.939641
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-8dc5c24b-2e89-3833-b94d-920674a956a0,0.004087,0.008313,0.00625,0.002404,0.021134,0.002244,0.010216,0.000801,0.001402,0.053686,0.016827,0.00051,0.003299,0.001202,0.03766,0,0,0.000801,0.079327,0.000801,0.024038,0.002003,0,0,-4.855516,0.856124
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-ed95bb69-9fa7-3a4a-b4a4-32dd947d4d1a,0.006341,0.021208,0.00874,0.002816,0.008997,0.01114,0.010497,0.036561,0.000964,0.019137,0.01571,0.001792,0.001361,0,0,0,0,0.011507,0,0.010454,0,0,0,0,0.102159,0.755167
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-d22d7bc1-c84d-3a19-9397-b5de1f90105e,0.015772,0.011402,0.005286,0.009378,0.008312,0.005456,0.015239,0.090935,0.001279,0.014209,0.000474,0.000465,0.003109,0.009378,0,0.014493,0,0,0,0.000341,0,0,0,0.002984,-8.573748,0.850197
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-3c73376b-b2d3-36de-93a9-eba2fb8848af,0.011292,0.00464,0.002939,0.001436,0.031613,0.003867,0.012471,0.008765,0.000193,0.102604,0.006015,0.00007,0.001274,0.0058,0.00464,0.009667,0,0,0,0.000155,0,0,0,0,-6.237422,0.947019
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-8e144a99-679b-3968-83a3-66439b452556,0.01064,0.004722,0.003084,0.001762,0.029395,0.003547,0.011662,0.011308,0.000482,0.109226,0.006082,0,0.001587,0.006554,0.00347,0.005397,0,0,0,0.000617,0,0,0,0.000386,-6.151553,0.94027
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-25b6affc-7860-38e3-9c8c-f37139d51eb4,0.018234,0.004794,0.002315,0.001861,0.030391,0.002894,0.011125,0.029426,0.000814,0.083936,0.001126,0.00046,0.000851,0.005065,0.000724,0.01013,0,0,0,0,0,0,0,0,-5.392834,0.89731
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-e79ce2ea-c61c-3e81-9fb2-b0977d1b86d7,0.010164,0.005257,0.002103,0.001585,0.040888,0.002687,0.014457,0.002921,0.000511,0.082749,0.00688,0,0.001546,0.005549,0.005549,0.002336,0,0,0,0.000467,0,0,0,0,-6.345341,0.883381
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-9294730f-3d55-36da-80b9-eb2df162e805,0.026453,0.01228,0.001983,0.003863,0.012506,0.008022,0.021857,0.026288,0.003155,0.017876,0.0003,0.000041,0.003075,0.008788,0.004056,0.022533,0,0.000193,0,0,0,0,0,0,-2.776694,0.783972
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-c7791391-c31e-3762-880f-9bc94c4c7eff,0.007653,0.007791,0.003314,0.005241,0.020907,0.00931,0.00927,0.011571,0.001036,0.023011,0.009511,0.001076,0.004339,0.002959,0.015779,0.017357,0.008679,0.00541,0.063511,0.000868,0.027613,0.00927,0,0.001972,-0.984628,0.875908
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-e43b5051-caae-370c-a784-df9c56068b24,0.003242,0.009109,0.004815,0.003944,0.022632,0.007127,0.004254,0.018834,0.001204,0.009524,0.023435,0.001284,0.0017,0.002247,0.023114,0,0,0.008668,0.058106,0.005586,0.029535,0.006581,0,0.001766,-1.300075,0.927292
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-43f0ea59-aa2f-31d8-8d87-19c95ec9be18,0.012765,0.013987,0.004345,0.005432,0.007197,0.016947,0.011543,0.003259,0.000883,0.025167,0.006518,0.003555,0.010161,0.009506,0.008691,0.027974,0.007061,0.000466,0,0.000109,0,0,0,0,-5.303661,0.95608
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-da4a41cb-073a-3228-add3-28447f04e353,0.009909,0.004748,0.002642,0.002123,0.031173,0.003303,0.013728,0.003028,0.000723,0.110928,0.006147,0.000075,0.001943,0.001652,0.004542,0.004955,0,0,0,0,0,0,0,0,-6.279755,0.951322
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-b2501b75-3f01-33f5-a072-9a4491447546,0.004021,0.008065,0.00561,0.004274,0.019051,0.006732,0.006019,0.02805,0.001227,0.005922,0.019999,0.002678,0.001403,0.000234,0.01496,0,0,0.01643,0.040673,0.007293,0.019168,0.006545,0,0.001636,-0.978646,0.859499
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-aab0ef77-8a71-36d7-9185-d2f76b9e3567,0.006995,0.009929,0.00735,0.007198,0.00615,0.033076,0.011707,0.000395,0.003557,0.029441,0.007574,0.005658,0.00917,0.00652,0.009781,0.008595,0.001186,0,0,0,0,0,0,0,-7.918417,0.775499
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-9b1b9ad6-e41d-3ddd-8bea-561af1fc27aa,0.012833,0.014765,0.010354,0.005468,0.005195,0.016624,0.008704,0.00401,0.000866,0.020051,0.003727,0.003712,0.0098,0.00237,0.007838,0.062705,0.003281,0,0,0,0,0,0,0,-6.005209,0.740932
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-4c523ea9-f3e8-32f4-9152-f73400aedb67,0.012197,0.016645,0.003581,0.009378,0.007134,0.019023,0.009045,0.007833,0.001492,0.013055,0.006755,0.003628,0.007592,0.017344,0.009698,0.029467,0.013428,0.000533,0,0.000149,0,0,0.000746,0,-5.902711,0.855558
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-94f41d98-f683-34ff-a0c2-245220420f74,0.008813,0.005291,0.004303,0.002478,0.025416,0.002776,0.013272,0.015036,0.001735,0.100856,0.003238,0.000126,0.004899,0.000694,0.005205,0.002429,0,0.002181,0,0,0,0,0,0,-5.460946,0.937131
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-3c5fb4b0-2e4e-3dae-9eb2-1dbfd202cd13,0.00652,0.00696,0.004982,0.002407,0.01804,0.00674,0.018773,0.000244,0.002198,0.051282,0.009117,0.002264,0.011937,0.001465,0.004762,0.007326,0,0,0,0,0,0,0,0,-6.60256,0.911231
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-7c42c2b4-dcbe-39a4-ae4e-0f0c41a7a5a5,0.012376,0.010872,0.002769,0.00544,0.008492,0.031155,0.011413,0.018318,0.003678,0.02077,0.004568,0.002439,0.006109,0.008438,0.012116,0.02553,0.003894,0.001051,0,0.000087,0,0,0,0,-5.903648,0.815755
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-79f566c9-7223-30c3-b350-c86594178766,0.008855,0.004389,0.00458,0.002508,0.027195,0.00229,0.012595,0.010941,0.001431,0.10687,0.003393,0.000208,0.004401,0,0.005344,0.002672,0,0.002508,0,0,0,0,0,0,-5.588491,0.937731
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-6b15ab65-c2d3-3e58-ac04-18d8e1d45a7a,0.005312,0.00549,0.00429,0.003721,0.021834,0.002758,0.007916,0.018386,0.001851,0.046816,0.01657,0.001161,0.00691,0,0.023749,0,0,0.000584,0.051073,0,0.005618,0.002809,0,0,-4.660722,0.883783
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-0d767c26-bfc3-3376-b67a-a798b8125d98,0.009132,0.005327,0.003044,0.002392,0.024543,0.003957,0.014935,0.003805,0.000571,0.083714,0.012346,0.00083,0.004745,0.002283,0.005327,0.00761,0,0,0,0,0,0,0,0,-6.95027,0.952686
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-bc488cf3-986d-34cf-9ee7-12f98873dfe4,0.009396,0.006264,0.00689,0.005177,0.022651,0.0017,0.013199,0.011186,0.001902,0.040268,0.009645,0.001952,0.006448,0,0.012528,0.012528,0,0.006264,0,0.0017,0,0,0,0,-3.448302,0.870392
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-e4b9ce55-bbeb-368b-a1d4-e591b7df742e,0.007282,0.004808,0.003385,0.001465,0.037821,0.005231,0.015128,0.009573,0.000833,0.019829,0.006724,0.00014,0.000664,0.001282,0.015641,0.008462,0.000513,0.005934,0.081538,0.000103,0.036923,0.015897,0,0,-1.639827,0.852396
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-1c9a58a0-cd91-3636-8f7c-4fd886f8593a,0.006673,0.00989,0.002669,0.002656,0.01424,0.003718,0.019602,0.000636,0.002681,0.059104,0.009109,0.002297,0.010879,0.000715,0.013584,0.005005,0,0.000068,0,0.000191,0,0,0,0,-7.54586,0.916105
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-f0cbcba3-1cb5-3fa5-82cc-bfd9d1afa21d,0.012973,0.012162,0.002994,0.003148,0.011486,0.013555,0.017723,0.005267,0.001299,0.035482,0.006838,0.002457,0.008854,0.003742,0.012682,0.014553,0,0,0,0.000166,0,0,0,0,-6.367276,0.926523
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-7ce0d875-eb9c-36d2-9fe7-14ce5566df93,0.01339,0.012406,0.003558,0.011637,0.0103,0.014232,0.009363,0.071473,0.004448,0.016854,0.003329,0.000936,0.002368,0.012172,0.000468,0.009831,0.000936,0,0,0,0,0,0,0.006086,-4.959976,0.851426
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-5b0c38eb-a7c5-3378-87be-d51b8a79fadd,0.013974,0.009768,0.004768,0.007947,0.018129,0.003841,0.010182,0.06181,0.001076,0.056733,0.002649,0,0.002104,0.004636,0.001656,0.005629,0,0,0,0,0,0,0,0.004636,-7.591606,0.879037
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-ad1f3861-201b-3cd7-aa33-703b0c425729,0.006474,0.007301,0.009289,0.004021,0.007741,0.015201,0.016274,0.057471,0.001144,0,0.021425,0.002175,0.001407,0.003519,0.000704,0.001056,0,0.010858,0.003519,0.004222,0.000704,0,0,0,-0.520378,0.870936
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-4d9493eb-3bfe-3b63-8ce1-cf51415d3016,0.0171,0.013889,0.004728,0.008105,0.01576,0.012766,0.008373,0.047544,0.003546,0.025742,0.002889,0.000645,0.002781,0.010244,0,0.010638,0,0,0,0.000315,0,0,0,0.004334,-5.314456,0.873393
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-99734121-3347-3d4e-9bc6-67956450b140,0.005117,0.005264,0.004691,0.002056,0.021189,0.003731,0.020789,0.000533,0.000933,0.063788,0.013267,0.001405,0.007902,0.004264,0.00693,0.00693,0,0.000457,0,0.001066,0,0,0,0,-5.069313,0.919962
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-130b04ab-86e6-38d6-9276-e2db1b4dcffb,0.008276,0.006573,0.001207,0.002956,0.017888,0.00569,0.019989,0.001724,0.000485,0.025431,0.007567,0.002978,0.01108,0.000216,0.015517,0.003448,0,0.001663,0.046552,0,0.017672,0.008836,0,0,-6.136422,0.893104
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-5d96baea-7ffb-3aaa-bbe8-0a3cf82f2158,0.005283,0.005283,0.002113,0.002792,0.027338,0.002958,0.01631,0.001233,0.001585,0.072548,0.012033,0.000816,0.008173,0.001585,0.003434,0.00449,0,0.000226,0,0,0,0,0,0,-5.245052,0.907866
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-06c1d24b-426b-39ec-8047-700808302325,0.004521,0.009946,0.005515,0.006265,0.007346,0.004882,0.005877,0.002712,0.001752,0.011905,0.026622,0.001932,0.005585,0.001808,0.040009,0.000904,0,0.001421,0.086347,0.00009,0.060127,0.008816,0,0,-4.327993,0.839842
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-bc2c755f-9eee-30e3-9e98-1fbb2397c980,0.004289,0.007257,0.006759,0.00458,0.005741,0.004419,0.005578,0.008232,0.001571,0.01762,0.025274,0.00319,0.006448,0,0.035745,0.0013,0,0.001547,0.09922,0.000347,0.057192,0.007582,0,0,-4.544543,0.854597
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-3adf8c83-83b1-3ffa-8868-b8527d83923b,0.005613,0.007447,0.008173,0.004994,0.008309,0.017134,0.005478,0.048252,0.001231,0.005416,0.023798,0.00179,0.00139,0.005908,0,0,0,0.014982,0.002462,0.012999,0,0,0,0,0.485303,0.761458
